,ev_city,ev_country,ev_state,latitude,longitude
4505,Panama City,PM,,30.1856027,-85.7255169
4512,Itzehoe,GE,,53.9317752,9.5051475
4525,Sao Paulo,BR,,-23.5505199,-46.63330939999999
4526,VAN NUYS       ,USA,CA,34.1898566,-118.451357
4609,KASIGLUK       ,USA,AK,60.89555559999999,-162.5180556
4619,Stockholm,SW,,59.32932349999999,18.0685808
4626,HUNTINGTON     ,USA,WV,38.4192496,-82.44515400000002
4636,DALLAS         ,USA,TX,32.7766642,-96.79698789999999
4640,APOPKA         ,USA,FL,28.6934076,-81.5322149
4641,San Luis Potosi,MX,,22.1564699,-100.9855409
4651,YOUNGSTOWN     ,USA,OH,41.0997803,-80.6495194
4656,LITTLE ROCK    ,USA,AR,34.7464809,-92.28959479999999
4669,FALLS CREEK    ,USA,AK,55.6128703,-131.9935947
4686,ROMEY MARSH    ,UK,,51.001938,0.9188299999999999
4697,Belize City,BH,,17.5045661,-88.1962133
4703,NEAR NONDALTON ,USA,AK,59.9736111,-154.8458333
4716,TAU,AQ,,34.261207,-118.575822
4728,Trinidad,BL,,39.7059351,-74.9908093
4739,SPRINGDALE     ,USA,AR,36.18674420000001,-94.1288141
4740,GLENNALLEN     ,USA,AK,62.1097214,-145.557302
4756,HELENA         ,USA,MT,46.5883707,-112.0245054
4759,HOUSTON        ,USA,TX,29.7604267,-95.3698028
4787,KEY WEST       ,USA,FL,24.5550593,-81.7799871
4794,HONG KONG,CH,,43.4804724,-76.0995007
4799,GUATEMALA CITY ,PM,,14.6349149,-90.5068824
4810,BAINBRIDGE     ,USA,NY,42.2934131,-75.47934769999999
4816,NORFOLK        ,USA,VA,36.8507689,-76.28587259999999
4836,PANAMA CITY    ,PM,,30.1856027,-85.7255169
4844,OPA LOCKA      ,USA,FL,25.9023168,-80.25032709999999
4851,BETHEL         ,USA,AK,60.7922222,-161.7558333
4862,GILLETTE       ,USA,WY,44.2910915,-105.5022205
4872,LA PAZ         ,BL,,26.336672,-80.162521
4907,PITTSBURGH     ,USA,PA,40.44062479999999,-79.9958864
4908,WHEELING       ,USA,WV,40.0639616,-80.7209149
4913,GUADALAJARA    ,MX,,20.6596988,-103.3496092
4921,TALKEETNA      ,USA,AK,62.32090460000001,-150.1066221
4932,SO. MARSH 275  ,,GM,43.8158652,-88.1661599
4938,Bridgetown,BB,,13.1132219,-59.59880889999999
4939,SHAWNEE        ,USA,OK,35.3272928,-96.9253004
4959,SOUTH PELTO    ,,GM,,
4976,TALKEETNA      ,USA,AK,62.32090460000001,-150.1066221
4983,Ciudad Juarez,MX,,31.6903638,-106.4245478
4998,AVENAL         ,USA,CA,36.0041223,-120.1290272
5059,Sulaimaniya,IZ,,,
5064,LAKE ARTHUR    ,USA,LA,30.080764,-92.6715308
5068,PITTSBURGH     ,USA,PA,40.44062479999999,-79.9958864
5073,LONG BEACH     ,USA,CA,33.7700504,-118.1937395
5092,Lyon,FR,,45.764043,4.835659
5093,BRUNEAU        ,USA,ID,42.8819727,-115.7989463
5111,ROCAFUERTE,EC,,-0.9237111000000001,-80.4521216
5147,MELVILLE HALL  ,DO,,40.7934322,-73.41512139999999
5148,DALLAS         ,USA,TX,32.7766642,-96.79698789999999
5166,JAMAICA BEACH  ,USA,TX,29.189684,-94.9796456
5187,BOISE          ,USA,ID,43.6187102,-116.2146068
5212,REYKJAVIK      ,IC,,64.1404869,-21.9493575
5216,CREGNEASH      ,UK,,54.069263,-4.767557
5231,WHYALLA        ,AS,,-33.0343994,137.5849148
5239,Bishankhunarayan,NP,,27.6160046,85.37488859999999
5285,NORTH SEA      ,NL,,54.1454104,7.684694899999999
5292,ORLANDO        ,USA,FL,28.5383355,-81.3792365
5296,HONOLULU       ,USA,HI,21.3069444,-157.8583333
5314,LAKE ERIE      ,CA,,42.0668852,-81.3399414
5341,ALMA           ,USA,OR,43.89111,-123.47361
5375,CARIBOU LAKE   ,USA,AK,59.90414260000001,-151.0575536
5397,ILIAMNA        ,USA,AK,59.7547222,-154.9061111
5412,NORWOOD        ,USA,MA,42.19439089999999,-71.19896949999999
5416,VENICE         ,USA,LA,33.9850469,-118.4694832
5419,Rosario   ,AR,,-32.9442426,-60.65053880000001
5432,DUXSBURY       ,USA,VT,44.3270012,-72.7526175
5457,Chicago,USA,IL,41.8781136,-87.6297982
5487,PHOENIX        ,USA,AZ,33.4483771,-112.0740373
5493,ANCHORAGE      ,USA,AK,61.2180556,-149.9002778
5503,BOULDER CITY   ,USA,NV,35.9782216,-114.8345117
5516,NAIROBI,KE,,-1.2920659,36.8219462
5526,Milazzo,IT,,38.2207102,15.2419327
5575,Irkutsk,RS,,52.28697409999999,104.3050183
5644,Bitung,ID,,1.4403744,125.1216524
5659,OMEATH IRELAND ,EI,,54.0882604,-6.2593365
5672,DETROIT        ,USA,MI,42.331427,-83.0457538
5674,SANTA ROSA     ,RP,,-34.783022,-58.2611105
5688,SPRINGFIELD    ,USA,MO,37.2089572,-93.29229889999999
5700,NEWARK         ,USA,NJ,40.735657,-74.1723667
5723,HOMER          ,USA,AK,59.64250000000001,-151.5483333
5740,TUBA CITY      ,USA,AZ,36.1349928,-111.2398625
5748,SAINT MARYS    ,USA,AK,62.0530556,-163.1658333
5765,Nuqui,CO,,5.709563,-77.2666969
5773,Vienna,AU,,48.23147609999999,16.3569798
5774,MEMPHIS        ,USA,TN,35.1495343,-90.0489801
5775,STRASBURG      ,FR,,48.5734053,7.752111299999999
5787,LAS VEGAS      ,USA,NV,36.1699412,-115.1398296
5796,PLYMOUTH       ,USA,MI,42.3714253,-83.4702132
5852,VERO BEACH     ,USA,FL,27.6386434,-80.39727359999999
5895,W CAMERON 540  ,,GM,32.0000633,-102.0905249
5932,,UY,,-32.522779,-55.765835
5934,VOLCANOES NTL P,USA,HI,,
5955,NEW ORLEANS    ,USA,LA,29.95106579999999,-90.0715323
5991,DES MOINES     ,USA,IA,41.6005448,-93.6091064
5993,BUENA VISTA    ,USA,CO,38.8422178,-106.1311288
6005,Gulf of Mexico,USA,,30.0367543,-84.336621
6007,Detroit,USA,MI,42.331427,-83.0457538
6012,TULSA          ,USA,OK,36.1539816,-95.99277500000001
6120,SACRAMENTO     ,USA,CA,38.5815719,-121.4943996
6136,Pereira,CO,,4.8087174,-75.690601
6153,DENVER         ,USA,CO,39.7392358,-104.990251
6208,ANCHORAGE      ,USA,AK,61.2180556,-149.9002778
6239,Ontario,USA,OR,44.0265525,-116.9629378
6252,BECKLEY        ,USA,WV,37.7781702,-81.1881557
6253,TAMPA          ,USA,FL,27.950575,-82.4571776
6258,BOULDER CITY   ,USA,NV,35.9782216,-114.8345117
6272,DEADHORSE      ,USA,AK,70.20019959999999,-148.4597191
6330,CLEVELAND      ,USA,OH,41.49932,-81.6943605
6339,PANAMA CITY    ,USA,FL,30.1588129,-85.6602058
6345,INDIANAPOLIS   ,USA,IN,39.768403,-86.158068
6359,KASIGLUK       ,USA,AK,60.89555559999999,-162.5180556
6364,CORDOBA        ,AR,,-31.42008329999999,-64.1887761
6367,GOLETA         ,USA,CA,34.4358294,-119.8276389
6378,MANAMA         ,BA,,26.2285161,50.5860497
6416,GEORGETOWN     ,USA,TX,30.6332618,-97.6779842
6443,JEREMIE        ,HA,,,
6513,HAINES         ,USA,AK,59.2358333,-135.445
6554,ANCHORAGE      ,USA,AK,61.2180556,-149.9002778
6567,VENICE         ,USA,LA,33.9850469,-118.4694832
6568,NOME           ,USA,AK,64.5011111,-165.4063889
6592,Manaus,BR,,-3.1190275,-60.0217314
6602,BROWNSVILLE    ,USA,TN,35.5939671,-89.26229099999999
6606,REIMS,FR,,49.258329,4.031696
6612,London,UK,,51.5073509,-0.1277583
6634,Kidlington,UK,,51.823398,-1.290459
6648,GLENNALLEN     ,USA,AK,62.1097214,-145.557302
6662,SITKA          ,USA,AK,57.0530556,-135.33
6663,BURNETT INLET  ,USA,AK,56.16321629999999,-132.470375
6672,PARADISE       ,USA,CA,39.7596061,-121.6219177
6685,Guatemala,GT,,14.6349149,-90.5068824
6727,"TAU, MANU'A    ",USA,HI,-14.2298152,-169.5146745
6728,Greeley,USA,CO,40.4233142,-104.7091322
6738,BELL MOUNTAIN  ,USA,AK,,
6743,ZURICH,SZ,,47.2226601,8.751896
6764,GARDEN BANKS   ,,GM,13.2319351,-16.0035074
6785,UTICA          ,USA,NY,43.100903,-75.232664
6787,ELEELE KAUAI   ,USA,HI,21.9102778,-159.5872222
6793,ANDERSON       ,USA,IN,40.1053196,-85.6802541
6799,HANCOCK        ,USA,MI,47.1268714,-88.5809563
6807,ST. JOHNS      ,AC,,15.1614662,120.5708678
6811,"Slave Lake, Alberta",CA,,55.2866833,-114.7711184
6817,CARACAS        ,VE,,10.4805937,-66.90360629999999
6827,QUINHAGAK      ,USA,AK,59.7488889,-161.9158333
6830,HUALIEN,TW,,23.9871589,121.6015714
6842,BAUDETTE       ,USA,MN,48.7124736,-94.59992989999999
6854,Undrom,SW,,63.11929139999999,17.7398542
6877,Alcora,SP,,,
6915,EAST SAINT LOUI,USA,IL,38.624514,-90.1506465
6922,EUGENE ISLAND  ,,GM,,
6961,ROCKY MOUNT    ,USA,NC,35.9382103,-77.7905339
6974,HOMER          ,USA,AK,59.64250000000001,-151.5483333
6994,COVINGTON      ,USA,KY,39.0836712,-84.5085536
7008,AGO-6,AY,,,
7009,FORT WAYNE,USA,IN,41.079273,-85.1393513
7015,ANTALYA        ,FR,,49.4686497,11.0791312
7028,WESTERLY       ,USA,RI,41.3775987,-71.82728709999999
7031,POCATELLO      ,USA,ID,42.8713032,-112.4455344
7035,NORFOLK        ,USA,VA,36.8507689,-76.28587259999999
7041,MEMPHIS        ,USA,TN,35.1495343,-90.0489801
7076,PINCKNEYVILLE  ,USA,IL,38.0803286,-89.38203209999999
7084,KASIGLUK       ,USA,AK,60.89555559999999,-162.5180556
7092,Kilmovee,EI,UN,53.88834610000001,-8.688208699999999
7100,DEL CITY       ,USA,TX,29.414799,-98.4956409
7101,TALKEETNA      ,USA,AK,62.32090460000001,-150.1066221
