,ev_city,ev_country,ev_state,latitude,longitude
7680,Inverness,UK,,,
7713,LITTLEFORK     ,USA,MN,,
7727,CAMERON        ,USA,LA,,
7733,SARASOTA       ,USA,FL,,
7738,AUSTIN         ,USA,TX,,
7743,BROOMFIELD     ,USA,CO,,
7745,MIAMI          ,USA,FL,,
7800,NORTH PLATTE   ,USA,NE,,
7820,Machala,EC,,,
7822,KAHILTNA GLACIE,USA,AK,,
7833,VENICE         ,USA,LA,,
7839,MIAMI          ,USA,FL,,
7840,HAINES         ,USA,AK,,
7920,SLEETMUTE      ,USA,AK,,
7924,Milan,IT,,,
7935,PORTLAND       ,USA,ME,,
7965,VERNAL         ,USA,UT,,
7977,CHICAGO        ,USA,IL,,
8009,FORT HUACHUCA  ,USA,AZ,,
8051,CHACABUCO      ,AR,,,
8061,BETHEL         ,USA,AK,,
8064,NEWARK         ,USA,NJ,,
8065,LANGDON        ,USA,ND,,
8071,CHAMBLEE       ,USA,GA,,
8121,FUNTER PASS    ,USA,AK,,
8127,Moscow,RS,,,
8134,WAIPIO VALLEY  ,USA,HI,,
8152,DOSSENHEIM     ,GE,,,
8156,EKUK           ,USA,AK,,
8159,ATLANTIC OCEAN ,,AO,,
8198,WEDRON         ,USA,IL,,
8246,SANTA YSABEL   ,USA,CA,,
8280,DENVER         ,USA,CO,,
8305,MEMPHIS        ,USA,TN,,
8312,STEBBINS       ,USA,AK,,
8316,Zurich,SZ,,,
8363,MISSOULA       ,USA,MT,,
8367,BLOCK 651A     ,,GM,,
8371,Tokyo,JA,,,
8377,FRESNO         ,USA,CA,,
8378,Polvaredas,AR,,,
8381,Jakarta,ID,,,
8383,BLOUNTVILLE    ,USA,TN,,
8437,GLEN CANYON    ,USA,UT,,
8439,PORT O'CONNOR  ,USA,TX,,
8440,ATLANTA,USA,GA,,
8464,WEST DELTA 105 ,,GM,,
8491,Douala,CM,,,
8516,LAHAINA        ,USA,HI,,
8517,SOUTH MARSH 113,,GM,,
8559,FRIDAY HARBOR  ,USA,WA,,
8566,TETERBORO      ,USA,NJ,,
8629,NAPPANEE       ,USA,IN,,
8637,FORT YUKON     ,USA,AK,,
8658,FLAGSTAFF      ,USA,AZ,,
8672,VIENNA         ,USA,MO,,
8685,TUBA CITY      ,USA,AZ,,
8695,PHOENIX        ,USA,AZ,,
8696,GOLD BEACH     ,USA,OR,,
8769,SILVERDALE     ,USA,WA,,
8777,SKAGWAY        ,USA,AK,,
8786,MONOGHAN       ,USA,PA,,
8796,"Taipei, Taiwan R.O.C.",TW,,,
8822,SLEETMUTE      ,USA,AK,,
8898,Johannesburg,,,,
8912,ALBUQUERQUE    ,USA,NM,,
8946,SAGINAW        ,USA,TX,,
8967,ANIMAS         ,USA,NM,,
8978,Malaga,SP,,,
8990,EAGLE PASS     ,USA,TX,,
9083,Apoquindo,CI,,,
9123,GASPORT        ,USA,NY,,
9159,BILLINGS       ,USA,MT,,
9160,KIANA          ,USA,AK,,
9204,PORTLAND       ,USA,OR,,
9207,BRYCE CANYON   ,USA,UT,,
9217,AUSTRIA        ,AU,,,
9247,SAN FRANCISCO  ,USA,CA,,
9258,CODY           ,USA,WY,,
